📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 281/800] Loss: 0.4627  LR: 0.221530
[Epoch 282/800] Loss: 0.4587  LR: 0.221006
[Epoch 283/800] Loss: 0.4639  LR: 0.220480
[Epoch 284/800] Loss: 0.4609  LR: 0.219952
[Epoch 285/800] Loss: 0.4565  LR: 0.219424
[Epoch 286/800] Loss: 0.4599  LR: 0.218895
[Epoch 287/800] Loss: 0.4518  LR: 0.218364
[Epoch 288/800] Loss: 0.4545  LR: 0.217833
[Epoch 289/800] Loss: 0.4533  LR: 0.217300
[Epoch 290/800] Loss: 0.4554  LR: 0.216767
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_290.pth
[Epoch 291/800] Loss: 0.4509  LR: 0.216232
[Epoch 292/800] Loss: 0.4475  LR: 0.215696
[Epoch 293/800] Loss: 0.4579  LR: 0.215160
[Epoch 294/800] Loss: 0.4521  LR: 0.214622
[Epoch 295/800] Loss: 0.4440  LR: 0.214083
[Epoch 296/800] Loss: 0.4580  LR: 0.213543
[Epoch 297/800] Loss: 0.4421  LR: 0.213002
[Epoch 298/800] Loss: 0.4547  LR: 0.212460
[Epoch 299/800] Loss: 0.4576  LR: 0.211918
[Epoch 300/800] Loss: 0.4397  LR: 0.211374
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_300.pth
[Epoch 301/800] Loss: 0.4432  LR: 0.210829
[Epoch 302/800] Loss: 0.4440  LR: 0.210283
[Epoch 303/800] Loss: 0.4488  LR: 0.209737
[Epoch 304/800] Loss: 0.4494  LR: 0.209189
[Epoch 305/800] Loss: 0.4446  LR: 0.208640
[Epoch 306/800] Loss: 0.4443  LR: 0.208091
[Epoch 307/800] Loss: 0.4506  LR: 0.207541
[Epoch 308/800] Loss: 0.4346  LR: 0.206989
[Epoch 309/800] Loss: 0.4518  LR: 0.206437
[Epoch 310/800] Loss: 0.4419  LR: 0.205884
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_310.pth
[Epoch 311/800] Loss: 0.4489  LR: 0.205330
[Epoch 312/800] Loss: 0.4367  LR: 0.204775
[Epoch 313/800] Loss: 0.4448  LR: 0.204219
[Epoch 314/800] Loss: 0.4446  LR: 0.203663
[Epoch 315/800] Loss: 0.4371  LR: 0.203105
[Epoch 316/800] Loss: 0.4361  LR: 0.202547
[Epoch 317/800] Loss: 0.4395  LR: 0.201988
[Epoch 318/800] Loss: 0.4351  LR: 0.201428
[Epoch 319/800] Loss: 0.4429  LR: 0.200867
[Epoch 320/800] Loss: 0.4307  LR: 0.200306
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_320.pth
[Epoch 321/800] Loss: 0.4326  LR: 0.199743
[Epoch 322/800] Loss: 0.4353  LR: 0.199180
[Epoch 323/800] Loss: 0.4349  LR: 0.198616
[Epoch 324/800] Loss: 0.4311  LR: 0.198051
[Epoch 325/800] Loss: 0.4340  LR: 0.197486
[Epoch 326/800] Loss: 0.4414  LR: 0.196920
[Epoch 327/800] Loss: 0.4386  LR: 0.196353
[Epoch 328/800] Loss: 0.4355  LR: 0.195785
[Epoch 329/800] Loss: 0.4362  LR: 0.195217
[Epoch 330/800] Loss: 0.4314  LR: 0.194648
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_330.pth
[Epoch 331/800] Loss: 0.4247  LR: 0.194078
[Epoch 332/800] Loss: 0.4305  LR: 0.193507
[Epoch 333/800] Loss: 0.4367  LR: 0.192936
[Epoch 334/800] Loss: 0.4273  LR: 0.192364
[Epoch 335/800] Loss: 0.4204  LR: 0.191792
[Epoch 336/800] Loss: 0.4333  LR: 0.191219
[Epoch 337/800] Loss: 0.4261  LR: 0.190645
[Epoch 338/800] Loss: 0.4261  LR: 0.190070
[Epoch 339/800] Loss: 0.4265  LR: 0.189495
[Epoch 340/800] Loss: 0.4178  LR: 0.188919
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_340.pth
[Epoch 341/800] Loss: 0.4278  LR: 0.188343
[Epoch 342/800] Loss: 0.4201  LR: 0.187766
[Epoch 343/800] Loss: 0.4170  LR: 0.187188
[Epoch 344/800] Loss: 0.4210  LR: 0.186610
[Epoch 345/800] Loss: 0.4214  LR: 0.186031
[Epoch 346/800] Loss: 0.4222  LR: 0.185452
[Epoch 347/800] Loss: 0.4235  LR: 0.184872
[Epoch 348/800] Loss: 0.4232  LR: 0.184292
[Epoch 349/800] Loss: 0.4157  LR: 0.183711
[Epoch 350/800] Loss: 0.4128  LR: 0.183129
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_350.pth
[Epoch 351/800] Loss: 0.4134  LR: 0.182547
[Epoch 352/800] Loss: 0.4160  LR: 0.181965
[Epoch 353/800] Loss: 0.4121  LR: 0.181382
[Epoch 354/800] Loss: 0.4138  LR: 0.180798
[Epoch 355/800] Loss: 0.4091  LR: 0.180214
[Epoch 356/800] Loss: 0.4132  LR: 0.179630
[Epoch 357/800] Loss: 0.4130  LR: 0.179045
[Epoch 358/800] Loss: 0.4144  LR: 0.178459
[Epoch 359/800] Loss: 0.4117  LR: 0.177873
[Epoch 360/800] Loss: 0.4108  LR: 0.177287
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_360.pth
[Epoch 361/800] Loss: 0.4112  LR: 0.176700
